date,url,title
05/20/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=80859d91a4,Pycoders Weekly (Issue #217):  I/O
05/13/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b59d16a393,Pycoders Weekly (Issue #216): Thunder
05/06/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=c97491e1a8,Pycoders Weekly (Issue #215): More Bots.
04/29/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=5d0dad4d24,Pycoders Weekly (Issue #214): VIEWS
04/22/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=fc056b44db,Pycoders Weekly (Issue #213): Socks and Sandals
04/16/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8867c46279,Pycoders Weekly (Issue #212): Late
04/08/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=12530992af,Pycoders Weekly (Issue #211): Python 3
04/01/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=3832782ac4,Pycoders Weekly (Issue #210): right-pad
03/25/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=9d01609c22,Pycoders Weekly (Issue #209): left-pad
03/18/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=3384ab2140,Pycoders Weekly (Issue #208): Tesla
03/11/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=2b6ec675d3,Pycoders Weekly (Issue #207):  Cruise
03/04/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=14e265baf0,Pycoders Weekly (Issue #206): Curry
02/26/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=aaa70e6cd8,Pycoders Weekly (Issue #205): Hello
02/19/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b2831f4813,Pycoders Weekly (Issue #204): Whack-a-mole
02/12/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b840145b68,Pycoders Weekly (Issue #203): Heart
02/05/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=53e077220d,Pycoders Weekly (Issue #202):  Lean on
01/29/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=29180abb3b,Pycoders Weekly (Issue #201): Winterlude
01/22/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=12da694704,Pycoders Weekly (Issue #200): Two Hundred
01/15/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=42228c78eb,Pycoders Weekly (Issue #199): Almost There!
01/08/2016 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=22fde1c28d,Pycoders Weekly - Top Articles and Projects of 2015
12/18/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f88ad43551,Pycoders Weekly (Issue #197): Simons
12/11/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=247cb9ae65,Pycoders Weekly (Issue #196): Four
12/04/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=06f1263282,Pycoders Weekly (Issue #195): Notes
11/27/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=26e56ce092,Pycoders Weekly (Issue #194): Black Friday
11/20/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=45df5eb193,Pycoders Weekly (Issue #193): Espresso
11/13/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=e590684bd0,Pycoders Weekly (Issue #192): Jason
11/06/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=ff31369adf,Pycoders Weekly (Issue #191): Rocket
10/30/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f23921e094,Pycoders Weekly (Issue #190): Cages
10/23/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=d2ac036e97,Pycoders Weekly (Issue #189): Let's Discuss.
10/16/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=fd953514fa,Pycoders Weekly (Issue #188): Jays
10/09/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=d1f2d645df,Pycoders Weekly (Issue #186):  Server
10/02/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=6e4a6bafcd,Pycoders Weekly (Issue #185):  Bay Bridge
09/25/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=a07cf21a93,Pycoders Weekly (Issue #185): SFO
09/18/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=02385c8874,Pycoders Weekly (Issue #184): Python S+
09/11/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=e1b6ee0db9,Pycoders Weekly (Issue #183): Football
09/04/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=1099ac3094,Pycoders Weekly (Issue #182): Cruising
08/28/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=d0ee2a6163,Pycoders Weekly (Issue #181): Hopping 
08/21/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=e109bc9dff,Pycoders Weekly (Issue #180): Future
08/14/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=27f29bd18c,Pycoders Weekly (Issue #179): Jays
08/07/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=11857fb621,Pycoders Weekly (Issue #178): Releases
07/31/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=d06430eb4f,Pycoders Weekly (Issue #177): UTF
07/24/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=339bb6cb74,Pycoders Weekly (Issue #176): Gelato
07/17/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=c6b2ebae4e,Pycoders Weekly (Issue #175): Ant
07/10/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=015aa433f9,Pycoders Weekly (Issue #174): Podcasts
07/03/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=a66fd06602,Pycoders Weekly (Issue #173): Alive
06/26/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f070a2791c,Pycoders Weekly (Issue #172): Fever
06/19/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=dbc3fc6066,Pycoders Weekly (Issue #171): Halt and Catch Fire
06/12/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=0de5a85498,Pycoders Weekly (Issue #170): Switch
06/05/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=a0c695a7f6,Pycoders Weekly (Issue #169): Cheese
05/29/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=3269eb9cac,Pycoders Weekly (Issue #168): Codex
05/22/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=4bce55b0f6,Pycoders Weekly (Issue #167): Primetime
05/15/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=ee6e1b1b45,Pycoders Weekly (Issue #166): Max
05/08/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=e1b0ffb713,Pycoders Weekly (Issue #165): Terminal
05/01/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=14ac0e8c11,Pycoders Weekly (Issue #164): Avengers
04/24/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b7fdecf11e,Pycoders Weekly (Issue #163): Reptile
04/17/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=50a00cbf9b,Pycoders Weekly (Issue #162): Playoffs!
04/10/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=8f8d4bc674,Pycoder's Weekly (Issue #161): PYCON 2015
04/03/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=569ab9cab6,Pycoders Weekly (Issue #160): Egg
03/27/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=412ff5bb92,Pycoder's Weekly (Issue #159): Tapas
03/20/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=342d2cd3c5,Pycoder's Weekly (Issue #158): Madness
03/13/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=cf56544e52,Pycoder's Weekly (Issue #157): Martius
03/06/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=ba51070031,Pycoder's Weekly (Issue #156): Degen
02/27/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=2776ce7284,Pycoder's Weekly (Issue #155): Nimoy
02/20/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=7c693ce676,Pycoder's Weekly (Issue #154): Jarritos
02/13/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=4ffbd2b813,Pycoder's Weekly (Issue #153): Hearts
02/06/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=13785051a9,Pycoder's Weekly (Issue #152): Swamped.
01/30/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=686dc9891c,Pycoder's Weekly (Issue #151): One Five One
01/23/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=353147b5f3,Pycoder's Weekly (Issue #150): Professors Cube
01/16/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=68e052a6f7,Pycoder's Weekly (Issue #149): Almost
01/09/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f065557c20,Pycoder's Weekly (Issue #148): New Year
01/05/2015 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=55b91a6e1f,Pycoder's Weekly: Top of 2014
12/19/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=d973d8a93e,Pycoder's Weekly (Issue #146): Adorn
12/12/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=07a5f186be,Pycoder's Weekly (Issue #145): Spa
12/05/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=7489f8ef97,Pycoder's Weekly (Issue #144): Kool Aid
11/28/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=7abd581d10,Pycoder's Weekly (Issue #143): Black Friday
11/21/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=ab497700bb,Pycoder's Weekly (Issue #142): Shirts
11/14/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=277fbe35eb,Pycoder's Weekly (Issue #141): Sweater Weather
11/07/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=a089b06ae4,Pycoder's Weekly (Issue #140): Tweet
10/31/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=13527cc3dd,Pycoder's Weekly (Issue #139): Hero
10/24/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=e133864a0a,Pycoder's Weekly (Issue #138): Strong
10/17/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=6196c9ed66,Pycoder's Weekly (Issue #137): RPython
10/10/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=6bfdfe321c,Pycoder's Weekly (Issue #136): Legend
10/03/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=7f7e420fd4,Pycoder's Weekly (Issue #135): Uptime
09/26/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=39ea43de4e,Pycoder's Weekly (Issue #134): JSONB
09/19/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=50d930f03d,Pycoder's Weekly (Issue #133): iPhone 6 Plus
09/12/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=b7763d4295,Pycoder's Weekly (Issue #132): Apple (苹果)
09/05/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=c22fb2520f,Pycoder's Weekly (Issue #131): One Point Seven
08/29/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f9dc89f994,Pycoder's Weekly (Issue #130): End
08/22/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=90fa4ff04a,Pycoder's Weekly (Issue #129): Isla
08/15/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=339ce67508,Pycoder's Weekly (Issue #128): Yes you can!
08/08/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=ccef199858,Pycoder's Weekly (Issue #127): Kevin Love
08/01/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=79b5bd93f3,Pycoder's Weekly (Issue #126): Release Candidate
07/25/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=d64a421bc8,Pycoder's Weekly (Issue #125): Blockchain
07/18/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=32ec9dffdb,Pycoder's Weekly (Issue #124): Germany
07/11/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=672533d736,Pycoder's Weekly (Issue #123): Cleveland
07/04/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=f87f23b335,Pycoder's Weekly (Issue #122): Independence
06/27/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=5f3bbf9f0d,Pycoder's Weekly (Issue #121): Wiggins
06/20/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=2aab93be25,Pycoder's Weekly (Issue #120): 0x78
06/13/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=6297b73609,Pycoder's Weekly (Issue #119): World Cup
06/06/2014 - ,http://us4.campaign-archive2.com/?u=9735795484d2e4c204da82a29&id=cb904ae2f0,Pycoder's Weekly (Issue #118): Pandas
